result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,is_cheaper,difference,last_week_price_usd,last_week_captured_timestamp,is_cheaper_last_week,difference_last_week
Ori And The Blind Forest Definitive Edition,2022,7.76,04/25/23 09:33:58,False,0.04,6.37,04/20/23 16:00:06,False,1.39
Overcooked 2 Gourmet Edition,2021,19.12,04/25/23 09:33:59,True,-0.08,2.8,04/20/23 16:00:07,False,16.32
Overcooked Overcooked 2,2021,13.39,04/25/23 09:33:59,False,0.0,6.58,04/20/23 16:00:07,False,6.81
Overcooked 2 2,2018,5.89,04/25/23 09:33:59,True,-0.85,1.84,04/20/23 16:00:07,False,4.05
Persona 5 Royal,2018,38.27,04/25/23 09:34:00,False,0.2,25.18,04/20/23 16:00:08,False,13.09
Sd Gundam Battle Alliance,2015,49.71,04/25/23 09:34:00,False,0.26,26.51,04/20/23 16:00:09,False,23.2
Soul Hackers 2,2013,36.79,04/25/23 09:34:01,False,0.19,21.51,04/20/23 16:00:10,False,15.28
Tales Of Arise Ultimate Edition,1993,42.85,04/25/23 09:34:02,False,0.22,11.68,04/20/23 16:00:10,False,31.17
Tales Of Arise,2019,21.37,04/25/23 09:34:02,False,0.12,6.64,04/20/23 16:00:10,False,14.73
Tales Of Arise Deluxe Edition,2019,84.05,04/25/23 09:34:02,False,0.09,11.15,04/20/23 16:00:10,False,72.9
The Yakuza Remastered Collection,2018,22.24,04/25/23 09:34:03,False,8.41,5.31,04/20/23 16:00:11,False,16.93
Yakuza Like A Dragon,2015,15.16,04/25/23 09:34:03,False,0.08,5.29,04/20/23 16:00:11,False,9.87
Yakuza Like A Dragon Hero Edition,2011,32.46,04/25/23 09:34:03,False,0.17,6.89,04/20/23 16:00:11,False,25.57
Yakuza Like A Dragon Legendary Hero Edition,2021,30.82,04/25/23 09:34:03,False,0.17,9.56,04/20/23 16:00:11,False,21.26
Yakuza Like A Dragon Day One Edition,2010,22.84,04/25/23 09:34:03,True,-0.01,19.24,04/20/23 16:00:11,False,3.6
Yakuza 4 Remastered,2022,6.95,04/25/23 09:34:03,False,0.04,2.9,04/20/23 16:00:11,False,4.05
Yakuza 5 Remastered,2021,6.95,04/25/23 09:34:03,False,0.04,2.96,04/20/23 16:00:11,False,3.99
Yakuza 3 Remastered,2021,8.15,04/25/23 09:34:03,False,0.04,3.18,04/20/23 16:00:11,False,4.97
Yakuza Kiwami 2,2019,4.96,04/25/23 09:34:03,False,0.03,1.87,04/20/23 16:00:11,False,3.09
Yakuza Kiwami,2018,7.26,04/25/23 09:34:03,False,0.02,3.38,04/20/23 16:00:11,False,3.88
Yakuza 6 The Song Of Life,2017,6.61,04/25/23 09:34:03,False,1.4,5.2,04/20/23 16:00:11,False,1.41
Yakuza 0,2017,5.08,04/25/23 09:34:03,True,-0.25,3.56,04/20/23 16:00:11,False,1.52
Devil May Cry 5 Special Edition,2016,12.42,04/25/23 09:34:04,True,-4.28,10.95,04/20/23 16:00:12,False,1.47
Red Dead Redemption 2,2010,13.75,04/25/23 09:34:04,True,-9.15,8.7,04/20/23 16:00:13,False,5.05
Red Dead Redemption 2 Ultimate Edition,2000,15.89,04/25/23 09:34:04,False,0.08,15.77,04/20/23 16:00:13,False,0.12
Red Dead Redemption 2 Special Edition,2023,42.62,04/25/23 09:34:04,False,0.22,42.25,04/20/23 16:00:13,False,0.37
The Witcher 3 Wild Hunt Complete Edition,2018,9.83,04/25/23 09:34:05,False,0.0,6.24,04/20/23 16:00:14,False,3.59
The Witcher 3 Wild Hunt Game Of The Year Edition,2020,9.76,04/25/23 09:34:05,True,-0.01,6.21,04/20/23 16:00:14,False,3.55
The Witcher 3 Wild Hunt Blood And Wine,2021,19.93,04/25/23 09:34:05,False,11.58,6.23,04/20/23 16:00:14,False,13.7
The Witcher 3 Wild Hunt,2016,14.72,04/25/23 09:34:05,False,0.07,4.43,04/20/23 16:00:14,False,10.29
The Witcher 3 Wild Hunt Hearts Of Stone,2015,5.73,04/25/23 09:34:05,False,1.71,3.08,04/20/23 16:00:14,False,2.65
Crisis Core Final Fantasy Vii Reunion,2020,26.84,04/25/23 09:34:06,False,0.15,26.6,04/20/23 16:00:14,False,0.24
Crisis Core Final Fantasy Vii Reunion Digital Deluxe Edition,2019,59.64,04/25/23 09:34:06,False,0.3,34.43,04/20/23 16:00:14,False,25.21
Final Fantasy Xii The Zodiac Age,2019,14.9,04/25/23 09:34:07,False,0.08,10.61,04/20/23 16:00:15,False,4.29
Rune Factory 4 Special,2019,19.28,04/25/23 09:34:07,False,0.1,9.76,04/20/23 16:00:16,False,9.52
World Of Final Fantasy Maxima,2018,14.9,04/25/23 09:34:09,True,-2.06,7.43,04/20/23 16:00:17,False,7.47
Tales Of Symphonia Remastered,2018,34.79,04/25/23 09:34:10,False,1.78,34.5,04/20/23 16:00:19,False,0.29
One Piece Odyssey,2018,24.45,04/25/23 09:34:11,False,0.13,24.25,04/20/23 16:00:19,False,0.2
One Piece Odyssey Deluxe Edition,2020,69.71,04/25/23 09:34:11,False,0.06,52.03,04/20/23 16:00:19,False,17.68
Sifu,2019,29.82,04/25/23 09:34:13,False,0.16,27.64,04/20/23 16:00:20,False,2.18
